user_id,amount,date,merchant,ip,label
user4,22,11/10/2025 14:20,AppStore,192.168.4.15,0
user11,5.1,12/10/2025 06:01,AppStore,192.168.11.80,1
user10,16,11/10/2025 10:20,GameStore,192.168.10.70,0
user6,5.2,10/10/2025 03:10,MusicStore,192.168.6.30,1
user16,8,11/10/2025 09:00,GameStore,192.168.16.130,0
user20,12,12/10/2025 09:10,MusicStore,192.168.20.170,0
user3,150,11/10/2025 08:40,BookStore,192.168.3.10,1
user1,100,10/10/2025 11:00,GameStore,192.168.1.1,1
user15,27,10/10/2025 08:10,MusicStore,192.168.15.120,0
user8,10,12/10/2025 05:30,AppStore,192.168.8.50,0
user19,17,11/10/2025 16:10,GameStore,192.168.19.160,0
user12,32,10/10/2025 12:10,BookStore,192.168.12.90,0
user14,20,12/10/2025 07:10,AppStore,192.168.14.110,0
user5,10,12/10/2025 06:30,AppStore,192.168.5.20,0
user9,8.3,10/10/2025 09:30,MusicStore,192.168.9.60,0
user13,14,11/10/2025 15:20,GameStore,192.168.13.100,0
user18,22,10/10/2025 13:10,AppStore,192.168.18.150,0
user2,9,10/10/2025 09:20,MusicStore,192.168.2.5,0
user7,15.1,11/10/2025 02:05,GameStore,192.168.7.40,1
user4,9.98,11/10/2025 14:50,AppStore,192.168.4.15,1
user16,8.2,11/10/2025 09:20,GameStore,192.168.16.130,0
user20,14,12/10/2025 09:20,MusicStore,192.168.20.170,0
user10,18,11/10/2025 10:30,GameStore,192.168.10.70,0
user15,30,10/10/2025 08:20,MusicStore,192.168.15.120,0
user5,40,12/10/2025 06:40,GameStore,192.168.5.21,1
